Sample ID,Ship ID,Sed Depth,Site ,Site Type,AOM ,CH4 ,Sulfide,SO4,NO3,NO2,NH4 ,POC ,DOC 
150,2,15-20,C,oil seep,0,709.77,0.93,29.7,1.34,0.34,8.79,1372667,475
151,2,20-25,C,oil seep,0,451.35,0.21,29.46,1.7,0.45,20.59,1290411,644
152,2,25-35,C,oil seep,0,485.56,0.16,29.12,1.48,0.41,32.86,1112170,645
153,2,35-50,C,oil seep,,1198.12,0.31,29.06,0.98,0.32,46.32,1036338,546
154,2,Oily Layer,D,oil seep,0,1088.02,0.12,29.76,20.64,0.19,1.38,957366,462
155,2,0-3,D,oil seep,0,898.57,0.02,29.48,5.88,1.15,2.56,839896,439
156,2,3-6 cm,D,oil seep,0,1371.64,0.21,29.37,4.57,1.49,4.55,1605153,706
157,2,6-9 cm,D,oil seep,0,911.71,0.26,29.47,2.04,0.69,6.16,1345909,798
158,2,9-15 cm,D,oil seep,0,876.8,0,29.65,1.38,0.43,6.97,1453923,687
159,2,15-20,D,oil seep,0,703.92,0,29.32,1.11,0.32,8.15,1218681,637
160,2,20-25,D,oil seep,0,562.9,0,29.98,2.08,0.23,9.12,1185462,633
161,2,25-35,D,oil seep,0.04,411.74,2.38,28.51,1.31,0.19,7.16,1168473,569
162,2,35-50,D,oil seep,,411.74,0,29.3,2.31,0.23,7.2,1166501,581
163,2,0-3,Q,oil seep,0.23,1307.63,0,30.64,6.26,0.75,6.22,887708,303
164,2,3-6 cm,Q,oil seep,0.39,489.24,0,30.07,2.09,0.32,14.84,742247,374
165,2,6-9 cm,Q,oil seep,0.89,1160.98,0,29.28,6.31,0.41,23.44,838947,446
166,2,9-15 cm,Q,oil seep,0.19,1763.84,1.21,28.56,1.14,0.56,34.73,786480,576
167,2,15-20,Q,oil seep,0.25,1459.31,11.26,26.81,2.5,0.64,48.71,704031,609
168,2,20-25,Q,oil seep,0.2,2060.91,0,24.95,4.13,0.51,65.38,605782,693
169,2,25-35,Q,oil seep,0.26,1011.92,0.77,20.07,1.81,0.27,101.72,695897,1010
170,2,35-50,Q,oil seep,,2641.07,0,18.51,2.99,0.58,138.28,,1126
171,2,0-3,R,shelf,0.18,926.93,0,29.52,27.37,0.49,1.22,,414
172,2,3-6 cm,R,shelf,0,1187.99,0,29.48,19.91,0.73,0.95,,378
173,2,6-9 cm,R,shelf,0,1309.53,0,29.83,16.01,0.64,0.78,,336
174,2,9-15 cm,R,shelf,0,1049.04,0,29.53,8.43,0.64,1.22,,340
175,2,15-20,R,shelf,0,794.7,0,29.17,3.39,0.45,2.4,,346
176,2,20-25,R,shelf,0,821.38,0,29.28,2.76,0.32,5.3,,411
177,2,25-35,R,shelf,0,307.84,0,28.22,4.92,0.32,3.53,,515
178,2,35-50,R,shelf,,626.71,0,28.61,2.34,0.32,6.54,,596
179,3,0-3,A,oil seep,745.03,170.24,0.14,29.3,23.77,3.52,46.79,98752,1038
180,3,3-6 cm,A,oil seep,4.82,14.72,0.28,31.2,12.05,3.18,121.34,39573,1324
181,3,6-9 cm,A,oil seep,1.04,11.94,0.65,26.8,13.16,0.98,130.46,69841,1997
182,3,9-12 cm,A,oil seep,58.19,22.63,170.02,19,6.96,1.93,56.11,54150,1765
183,3,12-15 cm,A,oil seep,169.52,37.48,28.01,8.1,2.91,2.11,8.73,73080,4193
184,3,15-20,A,oil seep,4408.37,95.12,37.03,0.7,2.63,1.73,2.36,35372,3659
185,3,20-25,A,oil seep,0,853.5,36.11,,5.68,2.52,2.48,35604,2375
186,3,25-30,A,oil seep,0,552.4,,,,,,,
187,3,30-35,A,oil seep,0,783.13,,,,,,,
188,3,0-3,A,oil seep,30.73,1.99,0.65,31.2,10.84,2.98,58.67,,1097
189,3,3-6 cm,A,oil seep,0,4,0.31,29.8,5.39,0.9,79.21,,1601
190,3,6-9 cm,A,oil seep,4.47,1.8,45.72,25.5,,,47.34,,1615
191,3,9-12 cm,A,oil seep,75.29,18.13,151.22,21.8,5.88,12.68,110.84,,2018
192,3,12-15 cm,A,oil seep,110.44,62.02,19.53,19.6,6.25,1.04,7.48,,1811
193,3,15-20,A,oil seep,0,29.33,36.17,15.2,1.29,2.28,10.29,,1254
194,3,20-25,A,oil seep,0,85.23,41.03,10.3,2.7,0.86,9.61,,1045
195,3,25-30,A,oil seep,0,579.79,,,,,,,
196,3,30-35,A,oil seep,0,770.57,25.58,,,,3.04,,1608
197,3,35-45,A,oil seep,0,887.82,47.24,,,,3.42,,1508
198,3,0-3,S,oil seep,0,0.52,1.81,30.7,21.96,3.29,13.79,19386,651
199,3,3-6 cm,S,oil seep,0,0.7,0.14,29.5,6.59,1.73,24.73,19759,842
200,3,6-9 cm,S,oil seep,0,0.81,0.1,29.9,18.03,2.6,34.29,18621,1066
201,3,9-12 cm,S,oil seep,0,0.84,2.4,30.9,19.21,3.16,37.11,17273,1205
202,3,12-15 cm,S,oil seep,0,0.81,0.47,31.1,25.23,2.28,32.86,15695,951
203,3,15-20,S,oil seep,0,0.73,0.21,29.3,26.49,1.95,31.73,14384,1062
204,3,20-30,S,oil seep,0,0.77,0.39,30.4,43.12,2.01,24.17,13791,1098
205,3,Oily Layer,T,oil seep,0,0.88,0.28,28.7,42.05,1.1,7.73,13700,563
206,3,0-3,T,oil seep,0,1.11,0.07,30,6.52,1.87,15.29,15391,695
207,3,3-6 cm,T,oil seep,0,1.44,,30.8,6.51,1.51,14.79,16307,764
208,3,6-9 cm,T,oil seep,0,1.52,0.25,31.3,10.02,1.45,42.04,11499,1008
209,3,9-12 cm,T,oil seep,0.13,1.45,0.07,28.7,7.78,0.82,44.17,10970,822
210,3,12-15 cm,T,oil seep,0,0.96,0.58,30.2,,,25.98,10693,688
211,3,15-20,T,oil seep,0,1.12,0.1,29.9,10.34,1.22,33.54,11055,861
212,3,20-25,T,oil seep,0,1.16,0.1,30.4,11.19,0.68,50.04,11470,735
